:12
+:2
ArduinoShieldFootprint:1
C1:5
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C2:3
C3:3
C4:2
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
G***:5
IC**:1
J1:10
J2:2
L1:1
L2:1
LS1:1
LS2:1
LS3:1
LS4:1
LS5:1
LS6:1
LS7:1
LS8:1
MK1:2
R1:8
R2:3
R3:3
R4:2
R5:2
R6:1
R7:1
R8:1
R9:1
REF**:11
REF**11:1
REF**12:1
REF**13:1
REF**14:1
SW1:3
SW2:1
U1:4
U2:3
U3:1
U4:1
U5:1
